speaker,text,start,end,image_description,confidence,emotion,emocional_confidence,answer_gpt_l_q,video_id,whisper_model
SPEAKER_00," Do porquê nós criamos o Foro de São Paulo.  Porquê que nós discutimos a criação do Foro.  A primeira coisa é que em 1985  eu tinha consciência de que jamais  a gente poderia chegar ao poder pela via do voto,  pela via democrática.  De que jamais a gente poderia chegar ao poder  pela via do voto, pela via democrática.",0.0,31.54,"A imagem parece ser de um evento político, possivelmente em um país de língua portuguesa, dada a presença de um logotipo com a palavra ""Bolsonaro"" e a menção ""SENADOR"". O texto em destaque na imagem é ""ALGUÉM PODE DIZER SE ESSA FALA É... ANTIDEMOCRÁTICA?"", sugerindo que o evento pode estar relacionado a discussões sobre liberdade de expressão ou democracia. A confiança na interpretação é alta, com um grau de 0.9.",0.9,triste,média,"['raiva', 'triste', 'triste']",113,large
SPEAKER_00," O ex-presidente dos Estados Unidos, Donald Trump, classificou o candidato do PT, Luiz Inácio Lula da Silva, a quem ele apelida de Lulu, de lunático.",0.56,9.36,"A imagem parece ser uma captura de tela de uma postagem em uma rede social, possivelmente TikTok, com uma figura em destaque e texto em português. O texto menciona ""DONALD TRUMP MANDA FORTE RECADO PARA LULA"", seguido de emojis e bandeiras do Brasil e dos Estados Unidos. Abaixo, há mais texto em português que parece ser uma citação ou reflexão sobre o conteúdo principal. O contexto sugere uma discussão política, possivelmente relacionada a uma declaração ou ações de Donald Trump em relação a Lula da Silva. O grau de confiança é 0.9.",0.9,raiva,alta,"['raiva', 'raiva', 'raiva']",115,large
SPEAKER_00," Em uma mensagem em sua plataforma Truth Social nesta sexta-feira, o republicano escreveu,",10.12,15.02,"A imagem mostra uma cena de um avião militar com bandeiras dos Estados Unidos e do Brasil. Pessoas em uniforme estão em pé ao lado do avião. No canto superior da imagem, há uma caixa de texto com o nome ""DONALD TRUMP"" e o nome ""LULA"" abaixo, acompanhado de emojis de surpresa e bandeiras dos EUA e Brasil. Abaixo, há uma série de emojis de palmas. No fundo, há uma caixa de texto em português que diz: ""Ele ainda afirma que o Brasil é respeitado hoje graças à Bolsonaro"". O contexto sugere que a imagem foi compartilhada em uma rede social, possivelmente TikTok, e o texto reflete uma opinião sobre a relação entre os EUA e o Brasil, com menção ao presidente Donald Trump e ao atual presidente do Brasil, Jair Bolsonaro. O grau de confiança é 0.8.",0.8,neutro,média,"['neutro', 'neutro']",115,large
SPEAKER_00," Lula, Trump afirma, Lulu é um lunático da esquerda radical que destruirá rapidamente seu país e todo o tremendo progresso que foi feito sob o presidente Bolsonaro.  Em setembro, o ex-presidente republicano já apoiava Bolsonaro, a quem chamou de o Trump tropical.  Presidente Jair Bolsonaro, ele nunca vai te decepcionar.",15.04,34.56,"A imagem parece ser uma captura de tela de um vídeo de uma transmissão de TV ou de uma rede social, possivelmente TikTok, dado o formato e a presença de emojis e textos em português. O texto na imagem menciona ""DONALD TRUMP MANDA FORTE RECADO PARA LULA"", seguido de emojis de surpresa e bandeiras dos Estados Unidos e do Brasil. Abaixo, há outro texto que diz ""Ele ainda afirma que o Brasil é respeitado hoje graças à Bolsonaro"", com emojis de aplausos e uma bandeira do Brasil. O contexto sugere uma discussão política, possivelmente relacionada a uma declaração ou ações de Donald Trump em relação a Luiz Inácio Lula da Silva e Jair Bolsonaro. O grau de confiança é 0.9.",0.9,raiva,média,"['raiva', 'raiva', 'triste']",115,large
SPEAKER_00," Trump também descreve o presidente como um grande e respeitado líder, com um grande coração.",34.98,40.12,"A imagem parece ser de um evento público, possivelmente um debate ou conferência, com um palco e um público em pé. Na parte superior da imagem, há um texto em português que parece ser uma transcrição de uma fala ou um título, mencionando ""DONALD TRUMP MANDA FORTE RECADO PARA LULA"". Abaixo, há uma série de emojis de palmas e um texto que parece ser uma citação ou reflexão sobre o evento, mencionando ""Brasil é respeitado hoje graças à Bolsonaro"". O contexto sugere que o evento pode estar relacionado à política internacional, com referências a Trump, Lula e Bolsonaro. O grau de confiança é 0.9.",0.9,feliz,média,"['feliz', 'feliz', 'neutro']",115,large
SPEAKER_01, Ele é respeitado por todos ao redor do mundo. Seu país é respeitado por ele em todo o mundo.,54.86,61.52,"A imagem parece ser uma captura de tela de uma postagem em uma rede social, possivelmente Instagram, dado o formato e a presença de emojis e bandeiras. O texto principal é em português e menciona ""DONALD TRUMP MANDA FORTE RECADO PARA LULA"", seguido de emojis de surpresa e bandeiras dos EUA e do Brasil. Abaixo, há um texto que traduzido para o português significa ""Ele ainda afirma que o Brasil é respeitado hoje graças à Bolsonaro"", com emojis de surpresa e bandeiras do Brasil. O contexto sugere uma discussão política, possivelmente relacionada às relações entre os EUA e o Brasil, e às posições políticas de Trump e Bolsonaro. O grau de confiança é 0.9.",0.9,feliz,média,"['feliz', 'feliz', 'neutro']",115,large
SPEAKER_01," Só para não deixar dúvida, candidato, desculpe interrompê-lo, o senhor continua sendo favorável à legalização das drogas ou da maconha, por exemplo?  Não, eu te disse de maneira muito clara, eu sou favorável à diferenciação entre usuário e traficante.  E descriminalização, então?  Entre usuário e traficante. Não coloque essa palavra na minha boca, porque depois, inclusive, nesses tempos, vai ser utilizada como fake news quando ela vir.  Não ficou clara ainda essa descriminalização?  A decisão é ler a decisão do STF, é aquilo que eu defendo.",0.0,29.46,"A imagem mostra uma cena de um programa de televisão ou de uma entrevista, possivelmente em um estúdio. Há dois homens em primeiro plano, um vestindo um terno e o outro em uma camisa vermelha. Há um terceiro homem, mais velho, em segundo plano, vestindo uma camisa azul jeans. O fundo é neutro, com tons de bege e azul. Há um texto em português na imagem, que parece ser uma transcrição ou legendagem do que está sendo dito na cena. O texto menciona ""futuro"", ""filhos"", e ""melhor"", sugerindo um debate ou discussão sobre políticas ou futuro. O logotipo do TikTok está presente, indicando que a imagem foi compartilhada ou capturada de um vídeo do TikTok. O contexto sugere que pode ser uma discussão política ou social, possivelmente envolvendo figuras públicas. O grau de confiança é 0.95.",0.95,raiva,média,"['raiva', 'raiva', 'neutro']",117,large
SPEAKER_00," Candidato, legalizar o uso é que o usuário não seja preso.",30.899999999999995,33.32,"A imagem mostra o logotipo do TikTok em um fundo preto. O logotipo é composto por uma nota musical em tons de rosa e azul, seguida pelo nome ""TikTok"" em letras brancas. Não há outros elementos visíveis na imagem. O contexto sugere que a imagem está relacionada a uma tela de carregamento ou inicialização do aplicativo TikTok. O grau de confiança é 1.",1.0,neutro,alta,"['neutro', 'neutro', 'neutro']",117,large
SPEAKER_01," O usuário tem que ser tratado de uma forma e traficante de outra.  O caminho é esse. Então substâncias químicas não devem ser tema do código penal.  Nós defendemos o fim da guerra às drogas. É preciso descriminalizar as drogas no Brasil. É preciso legalizar a maconha.  Como o Uruguai fez, como o Canadá fez, como os estados norte-americanos fizeram, como vários países europeus fizeram,  o caminho é esse.  Questão de substâncias químicas não deve ser tema do código penal.",33.32,59.84,"A imagem mostra o logotipo do TikTok em um fundo preto. O logotipo é composto por uma nota musical em tons de rosa e azul, seguida pelo nome ""TikTok"" em letras brancas. Não há outros elementos visíveis na imagem. O contexto sugere que a imagem está relacionada a uma tela de carregamento ou inicialização do aplicativo TikTok. O grau de confiança é 1.",1.0,raiva,média,"['raiva', 'raiva', 'neutro']",117,large
SPEAKER_00, Nós já começamos a reconstruir 186 milhões de casas que nós encontramos paralisadas.,0.0,6.0,"A imagem mostra uma conversa entre duas pessoas em um estúdio com parede de madeira. Um homem e uma mulher estão sentados em cadeiras, conversando. O homem está vestido com um terno e gravata, enquanto a mulher usa um blazer preto. Há um pequeno mesa entre eles com dois copos de vidro. O fundo é preto com o texto ""ATUALIZEI"" repetido várias vezes. No topo da imagem, há um texto vermelho que diz ""Pego na FAKENEWSS+"". No canto inferior esquerdo, há o logotipo do TikTok e o texto ""@valuationfstyle"". No canto inferior direito, há um coração e o texto ""urtida"". O contexto sugere que pode ser uma transmissão de uma entrevista ou discussão em um ambiente de mídia social, possivelmente TikTok. O grau de confiança é 0.9.",0.9,neutro,média,"['neutro', 'feliz', 'neutro']",125,large
SPEAKER_00," Como é que cabe tanto filho da puta nesse planeta?  Sério, às vezes eu fico de cara com a quantidade de gente escrota que a gente encontra por aí.",0.0,7.3,"A imagem mostra dois homens em trajes formais, um entregando um documento ao outro. Ambos estão em um ambiente que parece ser um tribunal ou uma assembleia legislativa, com cadeiras de madeira e um fundo vermelho. Há um logotipo do TikTok e o nome de usuário ""@moralcarioca"" no canto superior esquerdo. No centro da imagem, há um grande star com a sigla ""PT"" e no fundo inferior, há o texto ""BRASIL"" em letras coloridas, acompanhado de símbolos de festa. O contexto sugere um evento político ou cerimonial, possivelmente relacionado ao Partido dos Trabalhadores (PT) no Brasil. O grau de confiança é 0.9.",0.9,raiva,média,"['raiva', 'raiva']",126,large
SPEAKER_00," Parece que a cada esquina, a cada conversa, aparece mais um pra te provar que a humanidade tá indo ladeira abaixo.",7.42,13.42,"A imagem mostra um grupo de pessoas em um evento público, possivelmente político, visto que há um homem em primeiro plano vestindo um terno e gravata, e uma mulher ao seu lado, ambos parecendo estar assistindo a uma cerimônia ou discurso. Há um texto em português na imagem que diz ""PT"", que é a sigla do Partido dos Trabalhadores, um partido político brasileiro. O fundo é vermelho com estrelas e o texto ""BRASIL"" em letras coloridas. O logotipo do TikTok está presente na parte inferior direita, indicando que a imagem foi compartilhada em uma plataforma de mídia social. O contexto sugere que o evento está relacionado à política brasileira, possivelmente uma cerimônia de posse ou um discurso oficial. O grau de confiança é 0.95.",0.95,raiva,média,"['raiva', 'triste', 'raiva']",126,large
SPEAKER_00," É impressionante como tem gente que faz questão de ser babaca, de puxar o tapete, de pisar nos outros só pra se sentir superior.",13.52,19.96,"A imagem mostra uma pessoa vestida com um traje formal, incluindo uma jaqueta preta e gravata vermelha, levantando a mão em um gesto de saudação ou aceno. Ao fundo, há outra pessoa de traje formal, com um crachá pendurado no pescoço. A imagem está adornada com elementos gráficos, incluindo um grande ""PT"" em uma estrela vermelha, e o texto ""BRASIL"" em letras coloridas com adornos. O logotipo do TikTok está presente no canto inferior direito, indicando que a imagem provavelmente foi compartilhada em uma plataforma de mídia social. O contexto sugere que pode ser um evento político ou judicial, possivelmente no Brasil, devido ao uso do ""PT"" (Partido dos Trabalhadores) e ao ""BRASIL"". O grau de confiança é 0.9.",0.9,raiva,alta,"['raiva', 'raiva', 'raiva']",126,large
SPEAKER_00," É falsidade, é traição, é maldade gratuita.",20.3,24.02,"A imagem mostra três pessoas em um ambiente que parece ser um tribunal ou uma sala de audiência, com um fundo de madeira e uma figura de Jesus Cristo crucificado. Uma pessoa está vestida com um traje judicial. O texto ""PT"" está presente em um star, e o termo ""BRASIL"" está escrito em letras coloridas no canto inferior direito. O logotipo do TikTok está presente na parte inferior direita. O contexto sugere que a imagem pode estar relacionada a um evento judicial no Brasil, possivelmente envolvendo o Partido dos Trabalhadores (PT). O grau de confiança é 0.8.",0.8,triste,média,"['raiva', 'triste', 'triste']",126,large
SPEAKER_00, E o pior é que esses arrombados tão por toda parte se multiplicando como praga.,24.04,27.76,"A imagem mostra um grande público sentado em um auditório, provavelmente assistindo a um evento formal. A maioria dos presentes está vestida de forma formal, com homens usando ternos e mulheres em vestidos ou blazers. O fundo é vermelho, típico de muitos auditórios formais. No canto inferior direito, há um logotipo do TikTok e o texto ""@moralcarioca"", sugerindo que a imagem foi compartilhada em uma plataforma de mídia social. O texto ""PT"" aparece em um dos quadrantes, o que pode indicar a ligação com o Partido dos Trabalhadores (PT), partido político brasileiro. O termo ""BRASIL"" está em letras coloridas, com coroa e estrelas ao redor, sugerindo um contexto nacional ou brasileiro. O grau de confiança é 0.95.",0.95,raiva,média,"['raiva', 'raiva']",126,large
SPEAKER_00, Elon Musk bota lenha na fogueira e compartilha convocação para protesto pelo impeachment,0.0,4.78,"A imagem parece ser uma montagem de duas fotos. A primeira foto, no topo, mostra uma multidão em um evento, possivelmente um protesto ou manifestação, com muitas pessoas vestindo roupas semelhantes. A segunda foto, no fundo, mostra uma pessoa em um terno preto com gravata borboleta, posando para uma foto. Há um logotipo do TikTok e a data ""17/02/2025"" no canto superior da imagem. A fonte ""@linear.news"" está presente no canto inferior esquerdo. O contexto sugere que pode ser uma imagem de mídia social, possivelmente relacionada a um evento público ou notícias. O grau de confiança é 0.8.",0.8,raiva,média,"['raiva', 'triste', 'raiva']",127,large
SPEAKER_00," de Lula.  Uma nova tempestade política está se formando no Brasil, e Elon Musk acaba de jogar mais",4.78,11.2,"A imagem mostra uma pessoa com barba e cabelos grisalhos, vestindo um terno preto e uma camisa branca. A pessoa está com as mãos juntas em frente ao rosto, como se estivesse em um gesto de oração ou reflexão. O fundo é distorcido com efeitos de distorção de imagem, e há um logotipo do TikTok na parte inferior direita da imagem. No canto superior esquerdo, há uma data escrita: ""17/02/2025"". No canto inferior esquerdo, há a palavra ""NEWS"" e no canto inferior direito, há o nome ""linear.news"". O contexto sugere que a imagem pode ter sido capturada de um vídeo em uma plataforma de mídia social, possivelmente TikTok, e pode estar relacionada a notícias ou eventos. O grau de confiança é 0.8.",0.8,raiva,baixa,"['raiva', 'triste', 'neutro']",127,large
SPEAKER_00, lenha na fogueira.  O chefe do Departamento de Eficiência Governamental dos Estados Unidos usou sua conta oficial,11.2,17.66,"A imagem mostra uma grande multidão em um evento público, possivelmente uma manifestação ou comício, com muitas pessoas vestidas de verde e amarelo, cores do Brasil. Há bandeiras e balões com as mesmas cores. No canto superior direito, há uma data: ""17/02/2025"". No centro da imagem, há um texto em destaque: ""FOGUEIRA"". No canto inferior direito, há um logotipo do TikTok e o nome de uma conta: ""@linear.news"". A confiança na interpretação é alta, com um grau de 0.9.",0.9,neutro,média,"['neutro', 'triste', 'neutro']",127,large
SPEAKER_00, no X para amplificar a convocação de protestos contra o presidente Luiz Inácio Lula da Silva.,17.66,23.34,"A imagem mostra uma pessoa com um smartphone em frente ao rosto. Na tela do celular, há um tweet de Elon Musk com uma imagem de protestos e o texto ""BRAZILIANS: MASS PROTESTS IN 120 CITIES DEMAND LULA'S IMPEACHMENT"". O tweet tem 44.8K retweets, 40.3M visualizações, 28K curtidas e 4.642 comentários. O texto ""OFFICIAL NO X"" está em destaque na imagem. O logotipo do TikTok está presente no canto inferior direito, junto com o texto ""TikTok"" e ""linear.news"". O contexto sugere que a imagem está relacionada a uma notícia ou evento de mídia social, possivelmente relacionado a protestos no Brasil. O grau de confiança é 0.8.",0.8,raiva,média,"['raiva', 'triste', 'raiva']",127,large
SPEAKER_00," A publicação, originalmente feita pelo influenciador Mário Naufal, fala de uma onda nacional de",23.52,29.24,"A imagem mostra uma tela de celular com um tweet de Elon Musk, seguido de um tweet de Mario Nawfal. Ambos os tweets se referem a protestos em massa em 120 cidades no Brasil, exigindo o impeachment de Lula. A imagem também inclui uma imagem de protestos com multidões e um pato gigante, além de logotipos do TikTok e da conta @linear.news. O contexto sugere que o tweet de Nawfal foi compartilhado por Musk, e ambos estão relacionados a notícias de protestos políticos no Brasil. O grau de confiança é 0.9.",0.9,neutro,média,"['neutro', 'triste', 'neutro']",127,large
SPEAKER_00, protestos que promete tomar mais de 120 cidades no próximo dia 16.,29.24,33.76,"A imagem mostra uma pessoa vestindo um terno preto, sentada com as mãos entrelaçadas em um gesto de pensamento ou reflexão. O fundo é de um azul claro. No canto superior esquerdo, há uma data escrita: ""17/02/2025"". No centro da imagem, há o texto ""FALA DE 1"" em letras amarelas. No canto inferior direito, há o logotipo do TikTok e o texto ""@LINEAR.NEWS"". O contexto sugere que a imagem pode estar relacionada a um post ou conteúdo no TikTok, possivelmente de um canal ou perfil chamado ""LINEAR.NEWS"". O grau de confiança é 0.9.",1.0,raiva,baixa,"['raiva', 'triste', 'neutro']",127,large
SPEAKER_00, A postagem já ultrapassa 22 milhões de visualizações e caiu como um verdadeiro presente nas mãos,34.1,40.22,"A imagem mostra uma multidão com bandeiras do Brasil, sugerindo um evento político ou comemorativo. O texto ""17/02/2025"" indica a data, e o logotipo do TikTok e a conta ""@linear.news"" sugerem que a imagem foi compartilhada em uma plataforma de mídia social. O contexto é provavelmente um evento político ou comemorativo no Brasil, possivelmente relacionado a uma data importante. O grau de confiança é 0.9.",0.9,feliz,alta,"['feliz', 'feliz', 'feliz']",127,large
SPEAKER_00," dos aliados do ex-presidente Jair Bolsonaro, que agora tentam impulsionar ainda mais as",40.22,45.24,"A imagem mostra uma multidão em um evento ao ar livre, com muitas pessoas segurando bandeiras verde e amarelas, típicas do Brasil. Há uma data no canto superior esquerdo: 17/02/2025. No centro da imagem, há o texto ""UM VERDADEIRO PRESENTE"" em letras amarelas. No canto inferior direito, há o logotipo do TikTok e o texto ""@linear.news"". O contexto sugere que é um evento político ou de apoio a um candidato, possivelmente no Brasil, devido às bandeiras e ao texto em português. O grau de confiança é 0.9.",0.9,neutro,média,"['neutro', 'triste', 'neutro']",127,large
SPEAKER_00, manifestações pelo impeachment de Lula.,45.24,47.24,"A imagem mostra uma pessoa sorrindo, vestindo uma camisa verde e amarela. No canto superior esquerdo, há uma data: ""17/02/2025"". No centro da imagem, há o texto ""DO EX PRESIDENTE"" em letras brancas e amarelas. No canto inferior direito, há o logotipo do TikTok e o texto ""@LINEAR.NEWS"". O contexto sugere que a imagem pode estar relacionada a uma publicação em uma rede social, possivelmente TikTok, e o texto sugere que o conteúdo pode estar relacionado a um ex-presidente. O grau de confiança é 0.8.",0.8,raiva,baixa,"['raiva', 'triste', 'neutro']",127,large
